History Length,Forecast Length,Units,Epochs,Loss
300,10,[200],7,0.0041826492168791285
300,10,[200],4,0.004183545298586964
300,10,[80],9,0.0041824805091783745
300,10,[100],9,0.004182480324360986
300,10,[180],9,0.004182475570473982
300,10,[180],10,0.004182435382617516
300,10,[60],10,0.0041825390060397415
300,10,[40],10,0.004182546113793608
300,10,[160],10,0.004182436115182029
300,10,[100],8,0.004182548731350268
300,10,[20],9,0.004182651610818261
300,10,[140],10,0.004182440000984602
300,10,[60],9,0.004182659247079304
300,10,[120],5,0.004183119614031055
300,10,[200],10,0.004182434807663558
300,10,[120],4,0.004183682561885983
300,10,[180],5,0.004183113660557599
300,10,[100],5,0.004183162030663703
300,10,[160],6,0.004182876255467435
300,10,[180],6,0.00418281754887222
300,10,[160],7,0.004182650606858619
300,10,[160],8,0.004182531927865317
300,10,[180],7,0.004182618694170614
300,10,[180],8,0.0041825367368850015
300,10,[140],9,0.004182479854491989
300,10,[40],9,0.004182684790327344
300,10,[20],10,0.004182543430124314
300,10,[80],10,0.004182438428378337
300,10,[200],9,0.004182480283577671
300,10,[120],10,0.004182510351799015
350,10,[80],1,0.0044959179113956225
350,10,[180],1,0.00449665657118325
350,10,[120],1,0.004496625309932362
350,10,[140],1,0.00449661621046531
350,10,[40],1,0.004495746677398126
350,10,[60],2,0.0044973314528428225
350,10,[200],1,0.004496707470007411
350,10,[100],1,0.004496597327453877
350,10,[60],1,0.004496587963218255
350,10,[20],1,0.004496487891749515
350,10,[140],2,0.004497441880993373
350,10,[160],1,0.004497108131844924
350,10,[180],2,0.004497153777991725
350,10,[40],2,0.004496075729583568
350,10,[60],3,0.004497203412776257
350,10,[20],2,0.004496518724287941
350,10,[200],3,0.004497254533469802
350,10,[80],3,0.00449743683068256
350,10,[80],2,0.004497147943444458
350,10,[120],2,0.004497159989406755
350,10,[100],2,0.0044971417698330615
350,10,[160],2,0.004497166734732621
350,10,[20],4,0.004497304899694039
350,10,[180],4,0.004497282596148097
350,10,[200],2,0.004497173765787389
350,10,[40],4,0.00449715962239091
350,10,[100],3,0.0044972461642165925
350,10,[180],3,0.004497084987700873
350,10,[120],3,0.00449725106047205
350,10,[140],3,0.004497359392934571
350,10,[160],3,0.004497266528346176
350,10,[40],3,0.00449698509158738
350,10,[200],5,0.004497267526823439
350,10,[20],3,0.004496812466926458
350,10,[100],4,0.004497263877501843
350,10,[120],4,0.0044972696187915405
350,10,[180],6,0.004497249430421772
350,10,[60],4,0.004497238542656725
350,10,[60],6,0.004497269092128542
350,10,[140],4,0.004497011848633774
350,10,[160],4,0.0044972639302615375
350,10,[80],4,0.004496831197302946
350,10,[40],7,0.004497218830925194
350,10,[200],4,0.004497273836196632
350,10,[140],5,0.004497269510569137
350,10,[100],8,0.004497217794599544
350,10,[60],5,0.004497296720224226
350,10,[60],8,0.004497200466412958
350,10,[20],5,0.004497303837316135
350,10,[180],5,0.0044972242719788
350,10,[100],9,0.0044972372108226895
350,10,[80],5,0.004496969290298474
350,10,[160],5,0.0044972677083514375
350,10,[100],10,0.004497223219023162
350,10,[120],6,0.004497257294373666
350,10,[120],5,0.004497266434241532
350,10,[60],9,0.004497228665384787
350,10,[60],7,0.004497238794986572
350,10,[180],7,0.004497241983021987
350,10,[20],6,0.004497226328573399
350,10,[40],6,0.004497226135416974
350,10,[40],5,0.004497156638869301
350,10,[100],5,0.00449718833749728
350,10,[200],6,0.004497256384651986
350,10,[80],6,0.0044972489496083925
350,10,[80],7,0.0044972395129024715
350,10,[180],8,0.004497233858675874
350,10,[140],6,0.004497226753854985
350,10,[20],7,0.004497246270610033
350,10,[40],9,0.004497217758832945
350,10,[100],6,0.004497248046128721
350,10,[60],10,0.004497223763785038
350,10,[80],10,0.004497214362817032
350,10,[20],8,0.0044972041697321705
350,10,[120],7,0.004497221100392612
350,10,[140],7,0.004497239000158682
350,10,[120],8,0.00449714598086817
350,10,[160],7,0.004497255645595932
350,10,[160],8,0.004497234103152252
350,10,[40],8,0.0044972430833628
350,10,[200],7,0.0044972395129024715
350,10,[20],10,0.004497220137509116
350,10,[100],7,0.004497241249370304
350,10,[140],8,0.00449723390102271
350,10,[120],10,0.004497224051606262
350,10,[120],9,0.004497230227631922
350,10,[80],9,0.004497232136793648
350,10,[160],9,0.0044972290880881975
350,10,[20],9,0.00449721288212813
350,10,[80],8,0.004497232631014116
350,10,[200],10,0.0044972227502909105
350,10,[160],6,0.004497241203704037
350,10,[200],9,0.004497229021579976
350,10,[140],9,0.004497228843055117
350,10,[40],10,0.004497223993741582
350,10,[180],9,0.004497229869947177
350,10,[160],10,0.004497229859111902
350,10,[180],10,0.0044972234116778045
350,10,[200],8,0.004497233728937315
350,10,[140],10,0.004497223763785038
400,10,[60],1,0.004173240623343902
400,10,[40],1,0.004173248132202974
400,10,[160],1,0.004173549885696804
400,10,[120],1,0.004173095791149833
400,10,[20],1,0.004173289571301004
400,10,[60],3,0.004173129063942739
400,10,[180],1,0.004173561746133779
400,10,[180],2,0.004173393742716346
400,10,[100],1,0.004173248683075323
400,10,[180],3,0.004173235942601526
400,10,[100],2,0.004173241754450536
400,10,[140],1,0.004173226962717397
400,10,[80],1,0.0041733337269329145
400,10,[140],2,0.0041733124624736065
400,10,[120],2,0.004173312596870695
400,10,[200],2,0.004173366437125496
400,10,[60],2,0.004173222556374292
400,10,[200],1,0.004173572990047942
400,10,[160],3,0.004173246088283742
400,10,[40],2,0.004173282890032677
400,10,[160],2,0.004173277281684677
400,10,[40],3,0.004173200530927951
400,10,[140],3,0.004173240665654741
400,10,[100],5,0.004173143287111618
400,10,[120],3,0.004173244155281401
400,10,[80],3,0.00417319700207972
400,10,[20],3,0.004173202845324886
400,10,[80],2,0.004173260796028301
400,10,[120],4,0.004173177462590186
400,10,[140],4,0.004173183884113654
400,10,[20],2,0.004173023076109055
400,10,[20],4,0.004173199484616215
400,10,[60],6,0.004173120013632877
400,10,[180],4,0.004173198252535551
400,10,[100],4,0.004173199906236346
400,10,[200],4,0.004173208511931732
400,10,[160],4,0.004173204383544664
400,10,[40],4,0.004173180788830786
400,10,[20],5,0.004173124949330208
400,10,[160],5,0.004173143838914162
400,10,[60],4,0.004173165911382274
400,10,[100],3,0.004173242078812798
400,10,[40],6,0.0041731012052061926
400,10,[200],3,0.004173273861236558
400,10,[40],5,0.004173134335667842
400,10,[60],5,0.004173120888460816
400,10,[200],7,0.004173114559655182
400,10,[40],7,0.0041731080344239
400,10,[80],7,0.004173112257692371
400,10,[200],5,0.0041731501828698074
400,10,[120],5,0.0041731406223489325
400,10,[80],4,0.004173175028451146
400,10,[200],6,0.004173135228299198
400,10,[160],7,0.004173113160518219
400,10,[40],9,0.004173096035293901
400,10,[100],7,0.004173115614872871
400,10,[20],9,0.004173101153806354
400,10,[80],5,0.004173146249540049
400,10,[100],6,0.004173134217617558
400,10,[120],6,0.004173131138045097
400,10,[160],6,0.00417312932415389
400,10,[160],8,0.004173105449712033
400,10,[140],8,0.0041731054475447615
400,10,[20],6,0.004173113091020937
400,10,[140],6,0.00417312353245111
400,10,[80],6,0.004173127605871159
400,10,[200],10,0.0041730991991045605
400,10,[120],9,0.004173099495833367
