History Length,Forecast Length,Units,Epochs,Loss
100,10,[200],9,0.006423017575896576
100,10,[200],3,0.01200838079683688
100,10,[180],9,0.006078401861873614
100,10,[180],10,0.0061550338143119285
100,10,[100],3,0.013245015186915603
100,10,[100],6,0.010332044494133797
100,10,[20],6,0.013719008575141984
100,10,[140],4,0.01973320788783747
100,10,[200],4,0.01954270931364011
100,10,[180],3,0.010552373911955962
100,10,[80],3,0.010041049389027874
100,10,[60],7,0.008476826651444279
100,10,[200],7,0.007319085798337549
100,10,[20],3,0.010461232662956278
100,10,[120],8,0.006193118894068251
100,10,[100],8,0.0066654293235963126
100,10,[80],9,0.006522337617402945
100,10,[160],8,0.006510946466822171
100,10,[200],8,0.006696230868650334
100,10,[40],6,0.007216711586836569
100,10,[200],5,0.007736730461574463
100,10,[100],4,0.019867004430978403
100,10,[40],5,0.026923582695381112
100,10,[40],4,0.014804148647387466
100,10,[80],7,0.009322111484047595
100,10,[100],7,0.009033329591769208
100,10,[180],5,0.010676559180719424
100,10,[100],5,0.02377708131995602
100,10,[60],5,0.023948837701094548
100,10,[20],4,0.008231820737349021
100,10,[60],10,0.006073376405213288
100,10,[40],9,0.007274490887794542
100,10,[100],10,0.006253005844783436
100,10,[160],10,0.006124737406655614
100,10,[120],6,0.008374408170980438
100,10,[200],6,0.008781396663621169
100,10,[20],7,0.007195328827718939
100,10,[180],8,0.006183851757560576
100,10,[20],10,0.006592051553174822
100,10,[80],10,0.005922071118367833
100,10,[160],9,0.00644819493635724
100,10,[200],10,0.0061797646500868445
100,10,[160],5,0.010189308419019905
100,10,[80],5,0.024268342945961186
100,10,[120],7,0.007390532290303922
100,10,[80],8,0.007520023817304586
100,10,[20],8,0.006101926631497499
100,10,[140],8,0.006384823380836534
100,10,[20],9,0.005761049542033668
100,10,[40],10,0.00597682033748186
150,10,[120],1,0.015702590818491628
150,10,[140],6,0.017395052581726658
150,10,[120],6,0.008121723999662227
150,10,[80],1,0.02487936058323492
150,10,[200],1,0.02504653595722573
150,10,[200],3,0.010698889617300944
150,10,[20],3,0.013127160492854274
150,10,[160],2,0.010172278061748322
150,10,[60],8,0.008602279394257898
150,10,[40],4,0.014933764829648704
150,10,[80],9,0.005913163824665541
150,10,[160],6,0.017501531342323965
150,10,[40],9,0.006022663840158827
150,10,[140],1,0.02151774866415705
150,10,[160],1,0.017080330524059162
150,10,[180],1,0.03204599831719172
150,10,[60],1,0.01585368674244348
150,10,[100],1,0.01304182584171811
150,10,[100],2,0.008197221404918683
150,10,[40],1,0.013656728917225561
150,10,[20],1,0.013445378254216482
150,10,[200],2,0.009501226024265542
150,10,[60],2,0.007595751344518452
150,10,[180],2,0.008976945882442078
150,10,[80],3,0.010721487451012736
150,10,[40],3,0.013357447708491323
150,10,[100],3,0.011230351727057745
150,10,[140],4,0.016821721871846242
150,10,[80],2,0.006875788984885568
150,10,[180],3,0.014905496042657859
150,10,[120],3,0.011671012479569486
150,10,[140],2,0.008911124394942498
150,10,[80],5,0.0127562442830412
150,10,[20],2,0.006155818278464651
150,10,[200],4,0.01565814209815651
150,10,[100],5,0.013768383700319032
150,10,[80],6,0.024224624805848038
150,10,[60],6,0.014901019040312295
150,10,[60],5,0.009808816415025498
150,10,[200],7,0.009114754463915622
150,10,[40],8,0.007172993268238375
150,10,[120],2,0.009335548383261515
150,10,[40],2,0.00687493142247302
150,10,[60],4,0.01795130050884372
150,10,[200],10,0.006238031661972948
150,10,[180],4,0.010647488964351927
150,10,[180],6,0.013442551310822694
150,10,[120],4,0.01235239648743269
150,10,[40],7,0.007642071391348631
150,10,[160],3,0.014024079951762695
150,10,[20],7,0.009728714923170336
150,10,[100],7,0.008071512651519641
150,10,[60],3,0.011294450730131864
150,10,[20],8,0.006735464888635454
150,10,[200],9,0.0062933724393789275
150,10,[160],9,0.0069203853031027315
150,10,[120],10,0.006125423925813817
150,10,[100],6,0.023525147342704375
150,10,[160],4,0.021568589557852954
150,10,[140],3,0.0123530492187014
150,10,[120],7,0.007705050583837287
150,10,[140],8,0.007592314739760306
150,10,[180],8,0.007088167107007028
150,10,[60],9,0.007246073477654689
150,10,[20],9,0.010232790776912071
150,10,[160],5,0.01485535096419398
150,10,[140],10,0.006325648460089621
150,10,[40],10,0.00596692121804104
150,10,[120],5,0.02035041109004823
150,10,[140],5,0.02171876220639116
150,10,[100],4,0.016928172357445474
150,10,[80],4,0.018584974580993223
150,10,[40],6,0.0068854666236986
150,10,[180],7,0.007195959921757264
150,10,[20],4,0.013023171057146789
150,10,[20],5,0.015894811645257412
150,10,[200],8,0.007161765400750553
150,10,[80],8,0.008283135122976048
150,10,[180],5,0.016477211500933626
150,10,[200],5,0.01563939910557108
150,10,[100],9,0.006513182033716659
150,10,[80],10,0.0063546121696342
150,10,[200],6,0.009112225082962465
150,10,[20],6,0.009394127008910068
150,10,[140],7,0.008478168061917566
150,10,[160],7,0.010411684990677446
150,10,[40],5,0.019556517277662912
150,10,[180],9,0.006302538379297213
150,10,[60],10,0.006382554380048866
150,10,[20],10,0.006290292657164974
150,10,[160],10,0.005809573127047586
150,10,[80],7,0.008160114794459845
150,10,[60],7,0.008054355581064213
150,10,[120],8,0.00697724462409572
150,10,[160],8,0.007262503712195692
150,10,[100],8,0.006799017817821633
150,10,[140],9,0.006478166817917301
150,10,[120],9,0.006754186317787732
150,10,[180],10,0.006075710935938472
150,10,[100],10,0.006468235994653836
200,10,[100],1,0.01905844315895633
200,10,[40],4,0.019118280429735457
200,10,[140],6,0.018414638857974137
200,10,[180],7,0.010003406611334375
200,10,[60],7,0.0078883274917384
200,10,[20],10,0.006026601106403905
200,10,[80],9,0.006242212126007677
200,10,[160],3,0.018086950545550227
200,10,[60],4,0.015490873925304778
200,10,[80],4,0.012122537112906643
200,10,[20],6,0.006686313180729689
200,10,[20],8,0.007740385839672386
200,10,[200],9,0.006551164927939937
200,10,[200],1,0.019042749590529644
200,10,[180],1,0.016000899969392756
200,10,[20],1,0.015857410599568803
200,10,[40],1,0.015142649529135084
200,10,[140],1,0.043908804196908596
200,10,[160],1,0.015309226138284737
200,10,[60],1,0.025674073244776323
200,10,[160],2,0.013331603339280889
200,10,[80],1,0.01339144573130882
200,10,[40],2,0.01268923922683807
200,10,[120],1,0.023235056008928036
200,10,[80],2,0.008372458106373942
200,10,[120],2,0.010539129404477663
200,10,[140],2,0.009571203794096731
200,10,[100],3,0.01151063755988709
200,10,[120],3,0.013470533766197548
200,10,[20],3,0.009770735699114682
200,10,[100],2,0.00931167150556214
200,10,[60],2,0.013698781186776492
200,10,[200],2,0.011328061675219492
200,10,[140],4,0.022731758917245437
200,10,[160],4,0.01685231075859827
200,10,[20],2,0.013192563985612953
200,10,[160],5,0.015063940788061163
200,10,[200],3,0.015105836620436392
200,10,[180],2,0.012340930791696866
200,10,[60],5,0.013313560490969
200,10,[140],5,0.021244661524616817
200,10,[120],5,0.02462119028728055
200,10,[20],5,0.020595614569375306
200,10,[40],3,0.01200133192224286
200,10,[160],7,0.010542968014095303
200,10,[60],6,0.011649377555507365
200,10,[100],4,0.017510301148839502
200,10,[120],4,0.015814838690179335
200,10,[200],6,0.01645591662155298
200,10,[200],7,0.0073921463340491655
200,10,[180],3,0.01248790037110434
200,10,[100],9,0.006302506375831542
200,10,[180],10,0.0064398650472729
200,10,[80],7,0.007038604445873003
200,10,[60],3,0.013992408002978969
200,10,[80],3,0.010761680922787398
200,10,[80],5,0.017114946171823537
200,10,[140],8,0.008605523082148984
200,10,[200],8,0.00739894568254553
200,10,[120],8,0.007723261487445993
200,10,[140],3,0.013183609748398908
200,10,[40],5,0.022770985375440162
200,10,[200],10,0.006012872569456653
200,10,[180],4,0.017842124488059427
200,10,[160],6,0.019360522336060542
200,10,[80],6,0.014802347108984697
200,10,[180],5,0.019509562370336436
200,10,[20],4,0.011159733388211789
200,10,[200],4,0.012140201160877693
200,10,[160],8,0.006784159370513024
200,10,[100],8,0.00892621884598495
200,10,[120],9,0.006331707007568084
200,10,[120],6,0.02136101639494946
200,10,[180],9,0.006573463924738641
200,10,[160],10,0.006293533567356834
200,10,[200],5,0.015145910294094327
200,10,[40],10,0.005956117491025282
200,10,[100],6,0.01465456411759873
200,10,[140],7,0.009957253742844115
200,10,[120],7,0.009944633284228661
200,10,[40],7,0.009603432624276518
200,10,[100],5,0.009527214468030468
200,10,[60],8,0.008581395805113589
200,10,[20],7,0.006392891516948133
200,10,[40],9,0.0066280880741582246
200,10,[20],9,0.007347629996560477
200,10,[40],8,0.007532200122345965
200,10,[100],10,0.006105138443204376
200,10,[180],8,0.007487600881097024
200,10,[120],10,0.006625120040558208
200,10,[140],10,0.006259462963009863
200,10,[80],10,0.00605656712220454
200,10,[60],10,0.0060737538423511215
200,10,[180],6,0.015142368283547597
200,10,[40],6,0.01566831031857849
200,10,[100],7,0.010805267228312609
200,10,[80],8,0.011097129946876215
200,10,[60],9,0.006200411165195321
200,10,[160],9,0.006029984404140915
200,10,[140],9,0.005880558729073295
250,10,[20],1,0.015905900097222148
250,10,[80],5,0.021986992010219343
250,10,[160],4,0.01840667144586758
250,10,[100],6,0.010738106603385532
250,10,[40],5,0.0132351683299031
250,10,[100],1,0.02509262675956443
250,10,[140],7,0.008034260362608923
250,10,[140],8,0.007913545304440217
250,10,[120],4,0.01726179724783618
250,10,[160],5,0.015515068169983603
250,10,[120],7,0.008643545881548547
250,10,[60],7,0.008514066188759209
250,10,[160],9,0.006492621405990261
250,10,[40],1,0.02250547049371805
250,10,[60],1,0.020046082781445894
250,10,[160],1,0.04506696912979615
250,10,[140],1,0.03354442277368508
250,10,[200],1,0.03200089054162606
250,10,[180],1,0.023755430788050567
250,10,[40],2,0.008562059809372417
250,10,[80],1,0.0316351325489411
250,10,[120],1,0.04896423366941669
250,10,[200],2,0.02116919752401862
250,10,[80],2,0.012867186371492407
250,10,[180],2,0.011405678789158017
250,10,[100],2,0.009183314468586943
250,10,[160],3,0.01474463214951758
250,10,[20],3,0.011904405260844774
250,10,[60],2,0.008969967768400528
250,10,[160],2,0.013346380563979224
250,10,[120],2,0.009238554199171967
250,10,[120],3,0.011560194087151344
250,10,[80],3,0.013571511748826948
250,10,[20],2,0.0072463922883075045
250,10,[140],2,0.010648768147995953
250,10,[120],5,0.01884553539850027
250,10,[60],4,0.022262657430163476
250,10,[180],4,0.023497245134479254
250,10,[180],3,0.019921105523059052
250,10,[180],5,0.02429742929942959
250,10,[140],6,0.012852565366329833
250,10,[180],6,0.02166415385527203
